"regime","tamanho_inicial","tamanho_final"
"A",3.5,0.01
"A",5,0.02
"A",8,0.061
"A",10,0.051
"A",13,0.041
"A",13,0.061
"A",15,0.041
"A",15,0.071
"A",16,0.092
"A",17,0.051
"A",19,0.051
"A",20,0.082
"A",21,0.102
"A",21,0.092
"A",24,0.051
"A",24,0.061
"A",24,0.082
"A",28,0.071
"A",29,0.071
"A",35,0.082
"A",36,0.061
"A",39,0.082
"A",39,0.112
"A",44,0.102
"B",5,0.041
"B",8,0.031
"B",8.5,0.041
"B",11.5,0.082
"B",10,0.071
"B",14,0.051
"B",15,0.061
"B",15.5,0.082
"B",18,0.061
"B",18,0.061
"B",18,0.071
"B",22,0.041
"B",21.5,0.061
"B",20.5,0.061
"B",25,0.082
"B",26,0.061
"B",38,0.071
"B",41,0.082
"B",41,0.061
"B",43,0.061
"B",45,0.071
"C",7.5,0.051
"C",9.5,0.051
"C",9,0.082
"C",9,0.092
"C",12,0.092
"C",13,0.061
"C",14.5,0.051
"C",15,0.102
"C",13,0.112
"C",11.5,0.071
"C",14,0.071
"C",14,0.051
"C",15.5,0.082
"C",15,0.092
"C",17.5,0.102
"C",19,0.122
"C",19,0.102
"C",19.5,0.163
"C",20,0.051
"C",23.5,0.112
"C",30,0.153
"C",26,0.082
"C",29,0.122
"C",39,0.102
"B",47.5,0.041
"B",46.5,0.061
"B",11.5,0.031
