"receita","propaganda","id"
81464,3000,"1"
72661,3150,"1"
72344,3085,"1"
90743,5225,"2"
98588,5350,"2"
96507,6090,"3"
126574,8925,"5"
114133,9015,"5"
115814,8885,"5"
123181,8950,"5"
131434,9000,"5"
140564,11345,"6"
151352,12275,"6"
146926,12400,"6"
130963,12525,"6"
144630,12310,"6"
147041,13700,"7"
179021,15000,"7"
166200,15175,"7"
180732,14995,"7"
178187,15050,"7"
185304,15200,"7"
155931,15150,"8"
172579,16800,"9"
188851,16500,"9"
192424,17830,"10"
203112,19500,"11"
192482,19200,"11"
218715,19000,"11"
214317,19350,"11"
